AthleteName	Graduation	BeltColor	BeltDegree	Academy	Federation	FederationAbbr
Fabiano dos Santos	Black Belt Second Degree	Black	2	Top Brother	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabiano Gonçalves Guimarães	Black Belt Second Degree	Black	2	Soul Fighters BJJ Barra da Tijuca	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabiano Haguiwara	Black Belt First Degre	Black	1	Team Hagui Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabiano Junior Leite de Souza	Black Belt Third Degree	Black	3	FF Team BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabiano Lasaro de Paula	Black Belt	Black		PS Phoenix BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabiano Marcucci	Black Belt First Degre	Black	1	Tonicão Team BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabiano Narcizo Mendes	Black Belt	Black		Attack JJ Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabiano Oliveira de Freitas	Black Belt Third Degree	Black	3	Icon Jiu-Jitsu Team - Rio de Janeiro	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabiano Pereira Campos	Black Belt	Black		Kioto Brazilian Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabiano Pereira da Silva	Black Belt Third Degree	Black	3	Gracie Barra João Pessoa-PB	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabiano Plácido Bezerra	Black Belt Second Degree	Black	2	De La Riva JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabiano Ricci	Black Belt First Degre	Black	1	Magoo JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabiano Rodrigues de Souza	Black Belt Sixth Degree	Black	6	Aguia Dourada	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabiano Salles de Aro Sesso	Black Belt First Degre	Black	1	CheckMat	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabiano Teixeira Campos	Black Belt Second Degree	Black	2	Equipe Peposo Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabiano Victorino	Black Belt Third Degree	Black	3	Macaco Gold Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabien Giorsetti	Black Belt Second Degree	Black	2	Competition Team Giorsetti	International Brazilian Jiu-Jitsu Federation	IBJJF
Fabio Alberto Simon	Black Belt	Black		Noroeste Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Alessandro Gomes	Black Belt	Black		Dennis Jiu-Jitsu Club	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fábio Alexandre Correa Novaes	Black Belt Fourth Degree	Black	4	Fabio Novaes BJJ	United States Brazilian Jiu-Jitsu Federation	USBJJF
Fabio Alexandre Freixo	Black Belt	Black		Omar Salum Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Anacoreta	Black Belt First Degre	Black	1	Aeterna Jiu-Jitsu	International Brazilian Jiu-Jitsu Federation	IBJJF
Fabio Anibal Freire Teixeira	Black Belt Fifth Degree	Black	5	Anibal Fight	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Antonio Russo Faria	Black Belt	Black		GF Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fábio Augusto de Carvalho	Black Belt Second Degree	Black	2	Brasa/99	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Augusto Ferraz	Black Belt First Degre	Black	1	Norfight	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fábio Augusto Pereira Teixeira	Black Belt	Black		PRM Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fábio Augusto Silva Machado	Black Belt	Black		Omar Salum Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Bondesan do Nascimento	Black Belt	Black		ASM BJJ Association - Brasil	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio da Rocha Carneiro	Black Belt Second Degree	Black	2	Academia 67 Pantanal Association	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fábio da Silva Andrade	Black Belt Third Degree	Black	3	Familia Bangu BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Daniel Dias	Black Belt First Degre	Black	1	Barbosa Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio de Mattos	Black Belt First Degre	Black	1	Au Jiu-Jitsu Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio de Oliveira Neres	Black Belt	Black		G13 BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fábio dos Santos Nascimento	Black Belt Third Degree	Black	3	Lótus Club	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Duca Gurgel do Amaral	Black Belt Sixth Degree	Black	6	Alliance SP	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Durello Menoita	Black Belt	Black		Barbosa Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Faia Vassalo	Black Belt	Black		ACJJ Team Brasil	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Florencio Alves	Black Belt Second Degree	Black	2	Manimal Family	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Fornoni	Black Belt	Black		Fight Sports International	International Brazilian Jiu-Jitsu Federation	IBJJF
Fábio Gevaerd Suzuki	Black Belt Fourth Degree	Black	4	Escola de Jiu-Jitsu Suzuki	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Glazer	Black Belt Third Degree	Black	3	Legacy	International Brazilian Jiu-Jitsu Federation	IBJJF
Fabio Guedes Passere	Black Belt First Degre	Black	1	Alliance Sul	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Hekel Lopes Moreira	Black Belt	Black		De La Riva JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Hidd Andrade	Black Belt	Black		Equipe Totti Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fábio Holanda Cavalcante	Black Belt Third Degree	Black	3	Brazilian Top Team Int.	International Brazilian Jiu-Jitsu Federation	IBJJF
Fabio Januário de Oliveira	Black Belt First Degre	Black	1	Gracie Barra Charlotte	United States Brazilian Jiu-Jitsu Federation	USBJJF
Fabio Jonas Schucman	Black Belt Second Degree	Black	2	Atos Jerusalem	International Brazilian Jiu-Jitsu Federation	IBJJF
Fabio Jorge Hauly	Black Belt	Black		Magoo JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio José de Oliveira	Black Belt Sixth Degree	Black	6	De La Riva Jiu-Jitsu USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Fabio Jose Romão e Silva	Black Belt Third Degree	Black	3	Morumbi Jiu-Jitsu Academy	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Kudo	Black Belt Second Degree	Black	2	Cia Paulista	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Leandro Giusti	Black Belt First Degre	Black	1	Alliance USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Fabio Leandro Ribeiro	Black Belt	Black		G13 BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Leopoldo e Silva Neto	Black Belt Third Degree	Black	3	Gracie Morumbi	United States Brazilian Jiu-Jitsu Federation	USBJJF
Fábio Lobo da Silva	Black Belt First Degre	Black	1	Academia OCS JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Lopes Araujo	Black Belt First Degre	Black	1	SAS Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Luis Renção Campos	Black Belt First Degre	Black	1	G13 Campo Belo	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Luiz de Medeiros Junior	Black Belt First Degre	Black	1	Renzo Gracie Newark	United States Brazilian Jiu-Jitsu Federation	USBJJF
Fabio Luiz Fernandes Galeb	Black Belt Third Degree	Black	3	Galeb Brothers Brazilian Jiu Jitsu	International Brazilian Jiu-Jitsu Federation	IBJJF
Fabio Martins Nogueira	Black Belt Third Degree	Black	3	DDR JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fábio Medeiros Villela	Black Belt Third Degree	Black	3	Gracie Barra Cedar Park	United States Brazilian Jiu-Jitsu Federation	USBJJF
Fabio Nery Fernandes	Black Belt	Black		CheckMat/Equipe 1	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Paes de Melo	Black Belt	Black		Tozi Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Ribeiro Costa Júnior	Black Belt Third Degree	Black	3	Gracie Barra Georgia	United States Brazilian Jiu-Jitsu Federation	USBJJF
Fabio Riyoiti Tomimassu	Black Belt	Black		Unity Jiu-Jitsu Brasil	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Roberto Gomes	Black Belt Fourth Degree	Black	4	Nova Força Brasil Team Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Rocha Rosa	Black Belt Second Degree	Black	2	Fabin Rosa Brazilian Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Fábio Rogério Domingues	Black Belt	Black		G13 BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabio Silva Peixoto	Black Belt First Degre	Black	1	De La Riva JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fábio Toscano Clemente	Black Belt Third Degree	Black	3	Checkmat New York	United States Brazilian Jiu-Jitsu Federation	USBJJF
Fabrice Frederic Girot	Black Belt Third Degree	Black	3	Coringa Jiu-Jitsu	International Brazilian Jiu-Jitsu Federation	IBJJF
Fabrice Jean Louis Augustin Payet	Black Belt First Degre	Black	1	Icon Jiu-Jitsu Team Reunion	International Brazilian Jiu-Jitsu Federation	IBJJF
Fabrice Lucien Robert Esnault	Black Belt	Black		Academie Pythagore	International Brazilian Jiu-Jitsu Federation	IBJJF
Fabricio Araujo Melo	Black Belt	Black		GF Team Bahia	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabricio Castilho Dellalibera	Black Belt	Black		Equipe Liga Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabrício Cesar Lopes	Black Belt First Degre	Black	1	Gracie Barra Rio de Janeiro	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabricio do Couto de Araujo	Black Belt Third Degree	Black	3	014RBJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabricio dos Santos Camoes	Black Belt Fourth Degree	Black	4	Gracie Humaita USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Fabricio Feliciano Souza Moreira	Black Belt Third Degree	Black	3	Qatar BJJ	International Brazilian Jiu-Jitsu Federation	IBJJF
Fabricio Lozano Kulaif	Black Belt	Black		XCoach	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabricio Luiz Martins Costa	Black Belt Sixth Degree	Black	6	Equipe Fabricio Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabrício Machado Tavares	Black Belt First Degre	Black	1	Julio Secco	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabricio Medici De A Lopes	Black Belt Third Degree	Black	3	NYC Lifestyle BJJ - Fabricio Medici	United States Brazilian Jiu-Jitsu Federation	USBJJF
Fabricio Monteiro Dias	Black Belt Third Degree	Black	3	UAE Jiu-Jitsu Team	International Brazilian Jiu-Jitsu Federation	IBJJF
Fabrício Nascimento de Moraes	Black Belt Third Degree	Black	3	Fn Fight.co Europa	International Brazilian Jiu-Jitsu Federation	IBJJF
Fabricio Parreiras Arico	Black Belt	Black		Dojo Ilhabela	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabrício Pereira da Silva	Black Belt Third Degree	Black	3	Soul Fighters International	International Brazilian Jiu-Jitsu Federation	IBJJF
Fabricio Ribeiro de Brito	Black Belt Second Degree	Black	2	Pitbull	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabrício Ribeiro de Novaes	Black Belt Second Degree	Black	2	Carlson Gracie International	International Brazilian Jiu-Jitsu Federation	IBJJF
Fabricio Rodrigues da Silva	Black Belt Third Degree	Black	3	Fabricio Rodrigues BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabricio Silva Lima	Black Belt First Degre	Black	1	Bronx House BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fabricio Silveira Werdum	Black Belt Second Degree	Black	2	Werdum Combat Team USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Fabrizio Manzo	Black Belt Third Degree	Black	3	Lynx Jiu-Jitsu Academy	International Brazilian Jiu-Jitsu Federation	IBJJF
Fabrizio Screpante	Black Belt Second Degree	Black	2	Tribe Jiu-Jitsu Roma Centro	International Brazilian Jiu-Jitsu Federation	IBJJF
Fagner Cardoso de Lima	Black Belt First Degre	Black	1	GF Team Sepetiba	Confederação Brasileira de Jiu-Jitsu	CBJJ
Faron Michael Sinnicks	Black Belt First Degre	Black	1	Alliance International	International Brazilian Jiu-Jitsu Federation	IBJJF
Fateh Belkalem	Black Belt Second Degree	Black	2	Gracie Barra London	International Brazilian Jiu-Jitsu Federation	IBJJF
Faustino Martins Neto	Black Belt Third Degree	Black	3	Osvaldo Alves - AM	Confederação Brasileira de Jiu-Jitsu	CBJJ
Federico Tisi	Black Belt Third Degree	Black	3	Tribe Jiu-Jitsu	International Brazilian Jiu-Jitsu Federation	IBJJF
Félicien Matoko	Black Belt	Black		Cantagalo International	International Brazilian Jiu-Jitsu Federation	IBJJF
Felipe Abrantes Wainer	Black Belt	Black		Brasa/Muzio	Confederação Brasileira de Jiu-Jitsu	CBJJ
Felipe Almeida Silva dos Santos	Black Belt	Black		Cáceres Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Felipe Alves de Souza	Black Belt Third Degree	Black	3	New School BJJ	International Brazilian Jiu-Jitsu Federation	IBJJF
Felipe Augusto Moreira	Black Belt	Black		Araido	Confederação Brasileira de Jiu-Jitsu	CBJJ
Felipe Bergamini Cobra	Black Belt Third Degree	Black	3	Fight Sports Brasil	Confederação Brasileira de Jiu-Jitsu	CBJJ
Felipe Daniel Alexandre da Silva Pereira	Black Belt	Black		Gracie Barra João Pessoa-PB	Confederação Brasileira de Jiu-Jitsu	CBJJ
Felipe Gonçalves Bastos	Black Belt First Degre	Black	1	Academia Deo	Confederação Brasileira de Jiu-Jitsu	CBJJ
Felipe Heidrich	Black Belt Third Degree	Black	3	Gracie Fighter	United States Brazilian Jiu-Jitsu Federation	USBJJF
Felipe Leite Alencastro	Black Belt	Black		GF Team Distrito Federal	Confederação Brasileira de Jiu-Jitsu	CBJJ
Felipe Luis Lacerda	Black Belt	Black		Scorpyon Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Felipe Mota Dias	Black Belt Second Degree	Black	2	OXY	International Brazilian Jiu-Jitsu Federation	IBJJF
Felipe Nacib Minasian Santos	Black Belt First Degre	Black	1	Alliance SP	Confederação Brasileira de Jiu-Jitsu	CBJJ
Felipe Paulo Rodrigues	Black Belt	Black		DDR JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Felipe Pereira Teixeira	Black Belt Third Degree	Black	3	TJJ School	Confederação Brasileira de Jiu-Jitsu	CBJJ
Felipe Robis	Black Belt	Black		Gracie Barra Armação dos Búzios	Confederação Brasileira de Jiu-Jitsu	CBJJ
Felipe Rodrigues Giarolla	Black Belt First Degre	Black	1	Qatar BJJ Brasil	Confederação Brasileira de Jiu-Jitsu	CBJJ
Felipe Romano Liborio Reis	Black Belt	Black		Sunrise BJJ Team	United States Brazilian Jiu-Jitsu Federation	USBJJF
Felipe Romeiro Taveiros	Black Belt	Black		Tanque Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Felipe Souza da Silva	Black Belt First Degre	Black	1	GF Team Recreio	Confederação Brasileira de Jiu-Jitsu	CBJJ
Felipe Tadeu Rosa	Black Belt First Degre	Black	1	PSLPB Cicero Costha	Confederação Brasileira de Jiu-Jitsu	CBJJ
Felipe Thiago Pereira da Silva	Black Belt Second Degree	Black	2	Carlson Gracie Zurich	International Brazilian Jiu-Jitsu Federation	IBJJF
Felipe Tiago Lima Ramos	Black Belt First Degre	Black	1	Gracie Barra Belo Horizonte - MG	Confederação Brasileira de Jiu-Jitsu	CBJJ
Felipe Varella Neves de M. Silva	Black Belt Third Degree	Black	3	GF Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Felipe Von Seehausen de Rezende	Black Belt	Black		Barbosa Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Felipe Xavier de Macedo Silva	Black Belt	Black		Scorpyon Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Felippe Pessoa de Melo	Black Belt	Black		Caio Terra Association Brasil	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fellipe de Oliveira Berriel	Black Belt	Black		Gracie Barra Rio de Janeiro	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fergal Quinlan	Black Belt Second Degree	Black	2	BJJ Revolution Team - International	International Brazilian Jiu-Jitsu Federation	IBJJF
Fernanda Macedo Agualuza	Black Belt First Degre	Black	1	DDR JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernanda Mazzelli Almeida Maio	Black Belt Third Degree	Black	3	Striker JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Andrade dos Reis	Black Belt First Degre	Black	1	Alliance SP	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Antonio de Souza Lopes Gomes Junior	Black Belt First Degre	Black	1	Icon BJJ	International Brazilian Jiu-Jitsu Federation	IBJJF
Fernando Antonio Pereira Diniz Kamp	Black Belt	Black		CheckMat	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Araujo de Sousa	Black Belt Third Degree	Black	3	Mores Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Augusto da Silva	Black Belt Fourth Degree	Black	4	Alliance RJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Augusto Peres de Ataide	Black Belt	Black		Careca-Atos Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Bardelli Silva Fischer	Black Belt	Black		Gracie Barra Curitiba	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Bueno de Godoy	Black Belt Fourth Degree	Black	4	Alliance SP	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Claudio Edde A. de Souza Mendes	Black Belt	Black		Double Five Tijuca	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Correa Soares	Black Belt	Black		Barbosa Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando De Almeida Silva	Black Belt	Black		Black Team Jiu-Jitsu - Café	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando de Melo Guimarães	Red and White Belt Eighth Degree	Red and White	8	Carlson Gracie Clube	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Dias Severo	Black Belt	Black		Alliance Porto Alegre	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando do Nascimento Braga	Black Belt	Black		Fernando Braga Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Duarte Gomes Cancela	Black Belt Third Degree	Black	3	Soul Fighters BJJ Barra da Tijuca	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Fernandes da Matta	Black Belt First Degre	Black	1	Nova União	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Ferreira da Silva	Black Belt Fifth Degree	Black	5	Nova União	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Figueiredo da Silva	Black Belt	Black		LR Extreme	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Fonseca Danielewicz	Black Belt First Degre	Black	1	Mitra BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Henrique da Silva	Black Belt	Black		CheckMat/Equipe 1	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Humberto Mesquita Barros	Black Belt Second Degree	Black	2	Magoo JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Jose Di Pierro	Black Belt Fourth Degree	Black	4	Alliance Ecuador	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Luis Silva Santos	Black Belt Second Degree	Black	2	Double Five Tijuca	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Luiz Costa Ferreira	Black Belt Second Degree	Black	2	Ratos de Tatâme	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Luiz de Sousa Pacheco	Black Belt Third Degree	Black	3	Soul Fighters BJJ Barra da Tijuca	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Luiz Maccachero	Black Belt Third Degree	Black	3	Brazilian Top Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Marques Faustino	Black Belt Third Degree	Black	3	Universidade da Luta de Goiás	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Moura Grzeidak	Black Belt	Black		Zenith BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Nascimento Araujo	Black Belt Fourth Degree	Black	4	Jungle BJJ	International Brazilian Jiu-Jitsu Federation	IBJJF
Fernando Nodari Cruz	Black Belt First Degre	Black	1	Boston Brazilian Jiu-Jitsu Academy	United States Brazilian Jiu-Jitsu Federation	USBJJF
Fernando Pelloni B da Silveira	Black Belt	Black		Rilion Gracie Florianópolis - SC	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Rangel Paradeda	Black Belt Third Degree	Black	3	Drill BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Ribeiro	Black Belt First Degre	Black	1	Gracie Barra Miguel Pereira	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Rodriguez Jr.	Black Belt First Degre	Black	1	Rodriguez Brazilian Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Fernando Sakai da Silva	Black Belt First Degre	Black	1	Equipe Sakay JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Sales Sabenca	Black Belt First Degre	Black	1	Danilo Cherman BJJ	United States Brazilian Jiu-Jitsu Federation	USBJJF
Fernando Santos Lopes	Black Belt Fifth Degree	Black	5	G13 Campo Belo	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Silveira	Black Belt Second Degree	Black	2	TJJ School	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Trevisan de Castro	Black Belt Second Degree	Black	2	Trevis Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Walevein Filho	Black Belt Second Degree	Black	2	Brasa/99	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Werlang Ferreira Pires	Black Belt	Black		Bremgartner Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Fernando Yamasaki	Black Belt Sixth Degree	Black	6	Yamasaki Academy	United States Brazilian Jiu-Jitsu Federation	USBJJF
Filipe Braga Costa	Black Belt First Degre	Black	1	Double Five Highland Village	United States Brazilian Jiu-Jitsu Federation	USBJJF
Filipe Carlos Gatti	Black Belt First Degre	Black	1	Drill BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Filipe Egger de Moura	Black Belt	Black		DDR JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Filipe Pimentel Pinheiro	Black Belt	Black		Qatar BJJ Brasil	Confederação Brasileira de Jiu-Jitsu	CBJJ
Filipe Thome Martins Ferreira	Black Belt First Degre	Black	1	Barbosa Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Filippo Stabile	Black Belt First Degre	Black	1	League Jiu-Jitsu Italy	International Brazilian Jiu-Jitsu Federation	IBJJF
Fiona M. Watson	Black Belt Second Degree	Black	2	Notorious Mixed Martial Arts	United States Brazilian Jiu-Jitsu Federation	USBJJF
Flavia Campos	Black Belt	Black		Magoo JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Flavia Cristina Materco da Silva	Black Belt	Black		Carlos Henrique Brazilian Jiu-Jitsu Team	United States Brazilian Jiu-Jitsu Federation	USBJJF
Flavio Aleluia dos Santos	Black Belt Fifth Degree	Black	5	Brazil 021 School of Jiu-Jitsu BR	Confederação Brasileira de Jiu-Jitsu	CBJJ
Flavio Alexandre Bastos de Abreu	Black Belt	Black		Brazilian Top Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Flavio Alves de Almeida	Black Belt Third Degree	Black	3	Gracie Barra Arizona	United States Brazilian Jiu-Jitsu Federation	USBJJF
Flavio Araujo Guidolin Silva	Black Belt Second Degree	Black	2	Gracie Barra Brodowski SP	Confederação Brasileira de Jiu-Jitsu	CBJJ
Flavio Augusto Torres	Black Belt Second Degree	Black	2	Rocian Gracie Junior de Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Flavio Badan Collucci	Black Belt	Black		Sampa BJJ Brasil	Confederação Brasileira de Jiu-Jitsu	CBJJ
Flavio Behring	Red Belt Ninth Degree	Red	9	Behring Jiu-Jitsu USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Flavio Bezerra Rodrigues	Black Belt	Black		Nova União	Confederação Brasileira de Jiu-Jitsu	CBJJ
Flávio Celso Gonçalves Vieira	Black Belt Second Degree	Black	2	Rubik Jiu-Jitsu - Flavio Vieira	Federação Portuguesa de Jiu-Jitsu Brasileiro	FPJJB
Flávio César Gomes de Oliveira	Black Belt First Degre	Black	1	Atrium Brazilian Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Flavio da Silva Kenup	Black Belt Third Degree	Black	3	Team Robson Moura	United States Brazilian Jiu-Jitsu Federation	USBJJF
Flavio Eduardo Costa Duarte Junior	Black Belt Third Degree	Black	3	CheckMat	Confederação Brasileira de Jiu-Jitsu	CBJJ
Flavio Ferreira da Silva	Black Belt First Degre	Black	1	Rio Aiki Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Flavio Guilherme Gilli	Black Belt	Black		Gracie Barra Campinas	Confederação Brasileira de Jiu-Jitsu	CBJJ
Flavio Ramos Tanamati	Black Belt	Black		Bon-Sai Association Internacional	Confederação Brasileira de Jiu-Jitsu	CBJJ
Flavio Roberto Ferreira e Silva	Black Belt Fourth Degree	Black	4	Carlson Gracie Clube	Confederação Brasileira de Jiu-Jitsu	CBJJ
Flavio Rogerio Bueno	Black Belt Second Degree	Black	2	Impacto Japan B.J.J.	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Flávio Sales da Costa	Black Belt Second Degree	Black	2	F. Sales Team Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Flavio Teixeira Dias Neto	Black Belt Sixth Degree	Black	6	Flavio Teixeira Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Flavio Teixeira Garcia	Black Belt Fourth Degree	Black	4	3 R Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Flavius L. V. da Silva	Black Belt Third Degree	Black	3	GF Team Texas	United States Brazilian Jiu-Jitsu Federation	USBJJF
Florentin Amorim	Black Belt Second Degree	Black	2	Fox Team	International Brazilian Jiu-Jitsu Federation	IBJJF
Florian Daniel Müller	Black Belt	Black		Fight Gym Nürnberg	International Brazilian Jiu-Jitsu Federation	IBJJF
Florin Cernat	Black Belt First Degre	Black	1	Icon Jiu-Jitsu Team Romania	International Brazilian Jiu-Jitsu Federation	IBJJF
Forrest Gabriel Flanary	Black Belt Second Degree	Black	2	IV OZ Fight Club	United States Brazilian Jiu-Jitsu Federation	USBJJF
Fouad Mahiouf	Black Belt	Black		ACB - De La Riva Paris	International Brazilian Jiu-Jitsu Federation	IBJJF
