AthleteName	Graduation	BeltColor	BeltDegree	Academy	Federation	FederationAbbr
Jose Julio Luaces III	Black Belt	Black		Alliance South Florida	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jose Julio Santana Delgado	Black Belt	Black		Yamasaki Spain	International Brazilian Jiu-Jitsu Federation	IBJJF
José Luis dos Santos Varella Barca	Black Belt First Degre	Black	1	GF Team California	United States Brazilian Jiu-Jitsu Federation	USBJJF
José Luis Togno	Black Belt Third Degree	Black	3	Sucuri BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jose Luis Zapater Aguirre	Black Belt	Black		Association Aranha	International Brazilian Jiu-Jitsu Federation	IBJJF
Jose Luiz de Queiroz	Black Belt Fifth Degree	Black	5	Universidade Católica de Brasília	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jose Luiz Zatar Junior	Black Belt Second Degree	Black	2	Werdum Combat Team France	International Brazilian Jiu-Jitsu Federation	IBJJF
Jose M Gonzalez Jr	Black Belt	Black		Team Robson Moura	United States Brazilian Jiu-Jitsu Federation	USBJJF
José Marcello de Mendonça Leite	Black Belt First Degre	Black	1	Rhino Jiu-Jitsu Academy	Confederação Brasileira de Jiu-Jitsu	CBJJ
José Marcello Figueira Rodrigues	Black Belt Fifth Degree	Black	5	Icon BJJ	International Brazilian Jiu-Jitsu Federation	IBJJF
José Marcelo Oliveira Da Cunha	Black Belt	Black		Rilion Gracie Goiânia/Gracie Elite	Confederação Brasileira de Jiu-Jitsu	CBJJ
José Maria Araujo Lima Junior	Black Belt	Black		Schubert Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jose Mario da Silva	Black Belt First Degre	Black	1	Boi Branco Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
